XML:ID	InVersion	AlsoUsedIn	nonW	InParSegs	ChapterLocators	Vol	Label	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	Huntington	Thumbnail	surfaceGrp	surfaceGrp type (single leaf/bifolio)	surface type (r/v)	surface type resp	surfaceGrp/surface type cert	Notes
hm924v7n985	G			S-7a S-7b S-8		7	p. 83	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/985/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/985	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/985/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n986	G			S-8		7	p. 84	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/986/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/986	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/986/full/150,/0/default.jpg		single leaf	v	BW		
hm924v7n987	G			S-8 S-9a		7	p. 85	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/987/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/987	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/987/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n988	G			S-9a S-9b		7	p. 86	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/988/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/988	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/988/full/150,/0/default.jpg		single leaf	v	BW		
hm924v7n989	G			S-9b		7	p. 87	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/989/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/989	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/989/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n990	G					7	p. 88	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/990/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/990	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/990/full/150,/0/default.jpg		single leaf	v	BW		Blank
hm924v7n991	G			S-11		7	p. 89	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/991/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/991	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/991/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n992	G			S-11 S-12		7	p. 90	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/992/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/992	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/992/full/150,/0/default.jpg		single leaf	v	BW		
hm924v7n993	G			S-14		7	p. 91	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/993/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/993	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/993/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n994	G					7	p. 92	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/994/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/994	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/994/full/150,/0/default.jpg		single leaf	v	BW		Blank
hm924v7n995	G		T			7	p. 93	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/995/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/995	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/995/full/150,/0/default.jpg		single leaf	r	BW		C: Conclusion [pencil] Not in Walden: "Rene Soudihuoane . . . as a dog." Jesuit Relations
hm924v7n996	G					7	p. 94	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/996/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/996	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/996/full/150,/0/default.jpg		single leaf	v	BW		Blank
hm924v7n997	G			C-6b		7	p. 95	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/997/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/997	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/997/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n998	G					7	p. 96	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/998/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/998	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/998/full/150,/0/default.jpg		single leaf	v	BW		Blank
hm924v7n999	G			C-6a C-6b		7	p. 97	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/999/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/999	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/999/full/150,/0/default.jpg		single leaf	r	BW		
hm924v7n1000	G			C-6b C-7		7	p. 98	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1000/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1000	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1000/full/150,/0/default.jpg		single leaf	v	BW		
hm924v7n1001						7	Inside back cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1001/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1001	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1001/full/150,/0/default.jpg						
hm924v7n1002						7	Back cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1002/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1002	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1002/full/150,/0/default.jpg						
